物件,價位/坪,總價,房間,位置
專任💫【吉安美別墅】慶北二街車庫四房,30.42,,4房2廳3衛,吉安鄉
花蓮火車站前邊間別墅,28.98,,4房2廳3衛,花蓮市
獨家專任💫【花蓮市黃金透店】近遠百,22.16,,5房2廳3衛,花蓮市
車站200米、國際物業飯店宅、高坪效空間,28.51,,2房2廳1衛,花蓮市
獨家銷售 宜昌學區 透天厝,25.23,,3房2廳3衛,吉安鄉
上美崙三房車位看海華廈,17.28,,3房2廳2衛,花蓮市
美崙海景華廈~已售出,20.07,,4房2廳2衛,花蓮市
近吉安中華路美公寓~低總價~專任件,19.77,,3房2廳1衛,吉安鄉
花蓮富國大飯店,24.3,,開放式格局,花蓮市
甜蜜家庭精美清雅2房,24.9,,2房2廳1衛,吉安鄉
慈濟後站大面寬9年屋/有孝親房,37.01,,5房2廳6衛,花蓮市
花蓮吉安優質透天，一樓可當店面,24.17,,4房4廳3衛,吉安鄉
有巢康雅庭-慶豐獨棟全新面寬別墅,26.03,,4房2廳4衛,吉安鄉
獨賣！全新整理市區看海2+1房雙陽台,24.65,,3房2廳2衛,花蓮市
獨賣！全新整理市區看海2+1房雙陽台,24.65,,3房2廳2衛,花蓮市
＊葉蕙菱＊推薦站前時尚典雅兩房,27.41,,2房2廳1衛,花蓮市
美崙優質華廈,12.3,,3房2廳2衛,花蓮市
市區獨家海景3房華廈,24.94,,3房2廳2衛,花蓮市
(正市區)漂亮透天738萬,26.88,,3房2廳3衛,花蓮市
＊葉蕙菱＊推薦市區極簡優雅車位三房,21,,3房2廳2衛,花蓮市
住商悠活專任--太昌頂級莊園農舍,49.87,,5房2廳5衛,吉安鄉
＊葉蕙菱＊推薦吉安美式鄉村風優質農舍,36.6,,4房2廳4衛,吉安鄉
林宏緯專任絕對稀有農建地獨棟大戶,29.43,,4房2廳5衛,吉安鄉
美崙稀有大寬雙別墅,24.44,,9房1廳8衛,花蓮市
壽豐平和優美農舍,54.69,,4房2廳5衛,壽豐鄉
專任東大門雙併雙車庫別墅！歡迎同業配件,51.9,,2房2廳2衛,花蓮市
獨家銷售：市中心獨棟華廈,25.31,,3房2廳2衛,花蓮市
市區高樓美麗2房,21.85,,2房2廳2衛,花蓮市
大格局的漂亮農舍!屋主急售!,31.22,,4房2廳3衛,吉安鄉
(專任件)吉安地55電梯美墅雙車庫,30.47,,4房2廳5衛,吉安鄉
獨家德安商圈花蓮市區透天店住,27.06,,7房3廳3衛,花蓮市
永慶-Tina*壽豐~東華電梯農舍,34.26,,9房2廳10衛,壽豐鄉
🍁看好房買好屋🍁壽豐退休養生別墅🍁,20.92,,5房2廳2衛,壽豐鄉
＊高銘謙＊推薦站前優質機能型三房,15.75,,3房2廳2衛,花蓮市
🌸 吉安～美式鄉村風農舍 🌸,36.6,,3房2廳4衛,吉安鄉
永慶徐美珠專售~花蓮後站15米路超值店住,33.23,,4房2廳3衛,花蓮市
專任--北昌原登二期預售華廈,29.03,,2房2廳2衛,花蓮市
光復國小旁庭院式透天屋+車位,17.37,,3房2廳1衛,光復鄉
陳玉如推薦美之硯［三期］別墅~1438萬,28.52,,4房2廳5衛,花蓮市
宜昌國小面寬大地坪有孝親房逼間別墅,19.62,,7房2廳4衛,吉安鄉
💛許琳💛市區邊間優質透天,32.8,,4房2廳5衛,花蓮市
💛許琳💛吉安雙陽台便宜3房華廈,18.24,,3房2廳1衛,吉安鄉
永慶徐美珠專售~慈濟商圈屋況佳4房美墅,22.93,,4房3廳4衛,花蓮市
專約 近吉安火車站華廈,17.04,,3房2廳2衛,吉安鄉
悠活專任-佳姿景觀三房車位,19.49,,3房2廳2衛,吉安鄉
💛許琳💛市區高機能三房華廈,15.75,,3房2廳2衛,花蓮市
永慶徐美珠專售~海洋風14間合法電梯民宿,18.94,,15房2廳15衛,新城鄉
永慶小靜推薦花市香榭大道附近全新二房華廈,28.14,,2房2廳2衛,花蓮市
永慶徐美珠專售~吉安優質生活圈獨棟店住,30.86,,6房4廳2衛,吉安鄉
花蓮站前市區商圈三樓公寓大套房,20.49,,1房1廳1衛,花蓮市
新城近精舍素雅透天宅,25.89,,3房2廳3衛,新城鄉
專任案件-合法資材室,51.24,,1房1衛,壽豐鄉
C821獨家專任-北埔高機能屋況佳透天,26.66,,3房3廳3衛,新城鄉
[永慶陳韋伶]花蓮近宜昌國小別墅,19.62,,7房2廳4衛,吉安鄉
♥️專任♥️美崙看海平面車位三房華夏,19.53,,3房2廳2衛,花蓮市
美崙無敵海景套房,27.42,,1房1衛,花蓮市
太昌原味屋透天,28.18,,2房2廳1衛,吉安鄉
🐓🐓有曬穀場的鄉村大平房,6.9,,開放式格局,壽豐鄉
吉安近黃昏市場商圈三房全新樣品屋,30.05,,3房2廳2衛,吉安鄉
花蓮吉安鄉市區建國路近全聯大地坪臨路店住,22.49,,8房2廳4衛,吉安鄉
獨家！看海2+1房雙陽台,24.65,,3房2廳2衛,花蓮市
自售#彩光佳站前超大套房（可做2房）,16.18,,2房2廳1衛,花蓮市
花蓮市中心經典花園別墅,30.31,,6房2廳6衛,花蓮市
美崙門諾低總價透天🏠投資、自住、租人,31.92,,2房1廳1衛,花蓮市
廟口商圈低總價三房，投資自住都划算,13.8,,3房2廳2衛,新城鄉
花蓮知名地段、碧雲莊大地坪庭院車庫別墅,17.01,,4房2廳3衛,花蓮市
價值典藏(稀有):吉安路一段獨棟地64坪,62.22,,3房2廳2衛,吉安鄉
鳳林火車站後驛的百大好客民宿尋找接手,36.18,,6房2廳4衛,鳳林鎮
花蓮美崙伊達斯,26.98,,1房1廳1衛,花蓮市
有巢氏小涵 前站邊間社區別墅,29.63,,4房2廳3衛,花蓮市
氏巢氏小涵 市區京品飯店式管理3房華廈,35.7,,3房2廳2衛,花蓮市
有巢氏小涵 近吉安車站百坪獨棟電梯別墅,29.04,,5房3廳6衛,吉安鄉
太昌面寬6.7米雙車八年美別墅,25.52,,5房2廳6衛,吉安鄉
02150 吉昌雙併別墅,29.4,,4房2廳2衛,吉安鄉
北昌大別墅1180萬,40.33,,3房2廳2衛,吉安鄉
03291美崙超大優質華廈,26.55,,開放式格局,花蓮市
黃娟娟推薦~福華苑2房2廳2衛3陽台華夏,23.6,,2房2廳2衛,吉安鄉
花蓮市漂亮大地坪店住-宏宇,29.62,,3房2廳5衛,花蓮市
花蓮白色宮殿~合法營業電梯民宿設備齊全,45.36,,10房4廳10衛,吉安鄉
新城煙波走路到海邊莊園-宏宇,38.95,,5房2廳6衛,新城鄉
美崙文教學區溫馨整理2房樓中樓,18.22,,2房1廳1衛,花蓮市
北昌全新百萬裝潢華夏,21.98,,3房2廳2衛,花蓮市
花蓮吉安魔術大空間邊間別墅,21.11,,7房2廳4衛,吉安鄉
河岸第一排吉安電梯店住,27.67,,7房2廳8衛,吉安鄉
馮子甄推專任新城康樂低總價原味透天,18.05,,3房2廳2衛,新城鄉
💯💯花蓮吉安慶豐商圈一手屋原屋況別墅,18.97,,4房2廳3衛,吉安鄉
三角市場建國商圈搶手金雞母,34.42,,3房3衛,吉安鄉
吉安獨棟面寬大地坪庭院別墅,25.9,,4房2廳2衛,吉安鄉
～獨家 近中華路三房平面車位,15.72,,3房2廳2衛,花蓮市
近吉安車站獨棟前庭後院三代同堂電梯別墅,29.03,,5房3廳6衛,吉安鄉
有巢康雅庭福興全新預售電梯華廈,24.45,,2房2廳2衛,吉安鄉
繪民推薦~前站近中華國小2房華廈,25.72,,2房1廳1衛,花蓮市
吉安仁里活巷透天,25.26,,4房2廳3衛,吉安鄉
花蓮宜昌甜密花園華廈,22.85,,3房2廳3衛,吉安鄉
～光復～邊間～花園透天厝,8.84,,4房1廳3衛,光復鄉
太昌近三角市場店住兩相宜美透天,48.76,,6房3廳3衛,吉安鄉
永慶古家銘#專任中山國宅邊間屋況美大3房,16.99,,3房2廳2衛,吉安鄉
中華路🍉吳訓漩✅日系三房優質華廈,24.11,,3房2廳2衛,吉安鄉
💖市區三房平面車位免追垃圾車,19.5,,3房2廳2衛,花蓮市
黃昏市場🍉吳訓漩✅降↘優質採光二房華廈,20.38,,2房2廳1衛,吉安鄉
有巢育菁[邊間7房×地47坪×大庭院],21.29,,7房3廳4衛,吉安鄉
吉安車站前全新整理華廈,20.71,,3房2廳1衛,吉安鄉
有巢禾豐康雅庭-七星潭看海民宿,27.58,,15房2廳15衛,新城鄉
💯校長的故鄉近鳳林鎮行政區雙併別墅,12,,4房2廳3衛,鳳林鎮
(專任) 美崙-3房2衛原木地板華廈,19.65,,3房2廳2衛,花蓮市
悠活專任-北埔市中心成家美屋,13.8,,3房2廳2衛,新城鄉
 美崙有車位採光通風屋況好健康屋,14.41,,3房2廳2衛,花蓮市
後站大面寬金鑽店面,26.46,,6房6衛,花蓮市
花蓮市中心香榭大道旁精品美三房華廈,35.72,,3房2廳2衛,花蓮市
永慶古家銘#慶豐輕齡孝親別墅+社區公園,22,,5房2廳3衛,吉安鄉
整新完工三房高樓層有平面車位秒殺件,21,,3房2廳2衛,花蓮市
美崙現代啟示稀有大四房華廈B048,21.96,,4房2廳2衛,花蓮市
🍎南華超大面寬大別墅🍎,24.69,,5房2廳3衛,吉安鄉
後站小透天(華廈價),34.42,,2房2廳1衛,花蓮市
吉安三房溫馨華廈~已售出,24.48,,3房2廳2衛,吉安鄉
鳳林市區最清靜小平房建地(找我最便宜),31.82,,1房1廳1衛,鳳林鎮
上美崙全新優質三房+平面車位,33.7,,3房2廳2衛,花蓮市
住商精選-精華地段高樓層美宅,22.01,,4房2廳2衛,花蓮市
永慶古家銘#後站稀有工業風美裝潢5房別墅,42.65,,5房2廳4衛,花蓮市
🔥美崙全新電梯角間別墅🔥,29.53,,3房2廳4衛,花蓮市
繪民推薦~上美崙全新完工山景平車華廈,33.41,,3房1廳2衛,花蓮市
花蓮吉安大土地透天,20.1,,5房1廳3衛,吉安鄉
(獨家）近花蓮車站低總價3房,12.94,,3房2廳1衛,花蓮市
有巢育菁[地大40坪×敲除清運後屋況],19.87,,4房2廳3衛,吉安鄉
吉安庭院一樓，四房華廈,15.52,,4房2廳2衛,吉安鄉
超值近全新大土地四房電梯車位社區別墅,30.98,,4房2廳5衛,吉安鄉
專約花蓮新城邊間透天室內使用空間大,17.94,,5房2廳3衛,新城鄉
花蓮吉安稀有面寬雙併大別墅,28.53,,5房2廳2衛,吉安鄉
站前收租自用皆宜有陽台套房B034,22.79,,1房1衛,花蓮市
永慶古家銘#吉安全新4套房新別墅面山景,25.6,,4房2廳5衛,吉安鄉
21世紀小湯專任鑄上逸景觀華廈,36.83,,3房2廳2衛,花蓮市
永慶古家銘#美崙民光小透天大整裝潢,74.39,,2房1廳2衛,花蓮市
永慶古家銘#花商旁1房1廳1廚公寓大套,20.49,,1房1廳1衛,花蓮市
悠活預售-嘉里興建中別墅,24.03,,4房2廳5衛,新城鄉
永慶古家銘#北埔全新翻修裝潢美車庫透天,34.07,,3房2廳3衛,新城鄉
永慶古家銘#美崙設計師打造3房華廈+車位,12.79,,3房2廳2衛,花蓮市
悠活精選--站前大三房華廈,19.02,,4房2廳2衛,花蓮市
❤吉安美裝潢三房大陽台,20.71,,3房2廳1衛,吉安鄉
永慶古家銘#專任面寬雙車庫孝親別墅,23.12,,4房2廳3衛,吉安鄉
💚後站大坪數邊間別墅💚,24.78,,6房2廳6衛,花蓮市
@@七星潭地中海風情民宿@@,27.58,,15房1廳16衛,新城鄉
🔥德安微海景美三房華廈🔥,20.64,,3房2廳2衛,花蓮市
永慶古家銘#市心國風學區2年新別墅面公園,32.12,,4房2廳3衛,花蓮市
住商悠活精選-永興全新別墅,24.77,,4房2廳54衛,吉安鄉
悠活預售-鄉公所旁興建中美廈,20.99,,2房2廳1衛,吉安鄉
悠活預售-鄉公所旁興建中電梯別墅,23.05,,4房2廳5衛,吉安鄉
後站慈濟旁單身貴族套房+大陽台,24.18,,1房1衛,花蓮市
永慶古家銘#溪畔高層美景大三房華廈+車位,16.05,,3房2廳2衛,花蓮市
★專賣☆吉安海岸路近知卡宣大地坪店住,22.15,,開放式格局,吉安鄉
後站豐村景觀農舍~有巢泉盛,44.89,,5房3廳6衛,花蓮市
{專售}近商校街~12年別墅,28.47,,4房2廳5衛,花蓮市
北昌華廈(地點超好)-投資自住UD559,17.56,,3房2廳1衛,花蓮市
花蓮吉安❤️光華❤️優美農舍,36.59,,4房2廳4衛,吉安鄉
後站慈濟旁單身貴族套房+大陽台,24.18,,1房1衛,花蓮市
華廈街🍉吳訓漩✅專售美崙四房華廈,17.89,,4房2廳2衛,花蓮市
AD022花蓮美崙華廈,15.97,,開放式格局,花蓮市
住商~鍾維琪(專任)太昌挑高景觀車庫別墅,17.21,,5房2廳4衛,花蓮市
太昌碧雲莊~車庫精美別墅,17.76,,3房2廳2衛,花蓮市
北埔~近大漢家樂福，面寬透天,18.2,,4房2廳2衛,新城鄉
永慶古家銘#南埔超大地坪孝親別墅(已收定,19.5,,6房2廳4衛,吉安鄉
悠活精選--站前全新裝潢美宅,28.31,,1房1廳1衛,花蓮市
悠活專任-新天堂美別墅,17.77,,6房2廳5衛,吉安鄉
東華大學七房透天-找玲玲一定靈,17.93,,7房2衛,壽豐鄉
❤️北昌優質透天，一樓可當店面C011,30.71,,4房4廳3衛,花蓮市
古家銘#美崙市場旁3房超值透天#可孝親房,34.67,,3房2廳2衛,花蓮市
永慶古家銘#花商全聯旁5年新套房超低價,27.06,,1房1衛,花蓮市
永慶古家銘#專任#京都大郡別墅(已收定,18.71,,4房3廳4衛,吉安鄉
美崙千坪公園華廈,23.44,,2房2廳1衛,花蓮市
近慈濟園區-碧雲莊稀有車庫別墅D068,21.9,,5房2廳3衛,花蓮市
🍎永慶富國🍎９號雲朵花園,31.18,,5房2廳6衛,吉安鄉
悠活店住-市中心住商二用復古透天,27.54,,4房2廳2衛,花蓮市
悠活休閒-大型山中一萬坪休閒牧場,30,,開放式格局,鳳林鎮
悠活農舍--吉安千坪大型農舍莊園,37.55,,40房3廳42衛,吉安鄉
獨家近吉安車站生活機能優舒適別墅,24.35,,4房3廳3衛,吉安鄉
悠活精選-後站好停車住商二用,27.62,,3房1廳2衛,花蓮市
*專賣*吉安太昌路一手屋別墅,28.51,,4房2廳3衛,吉安鄉
悠活專任--後站有陽台小美宅,23.58,,1房1廳1衛,花蓮市
花蓮市明星雙學區三房低公設便宜美華夏,20.31,,3房2廳2衛,花蓮市
💖市區一層兩戶大兩房平面車位,27.81,,2房2廳2衛,花蓮市
新城鄉~近慈濟精舍.透天厝,20.49,,3房2廳3衛,新城鄉
市區全新一層一戶兩大房平面車位質感華廈,26.82,,2房2廳2衛,花蓮市
壽豐鄉農舍*奇萊山景為伴,29.38,,5房2廳5衛,壽豐鄉
國風學區綠地公園旁超稀有市中心別墅,32.33,,4房2廳5衛,花蓮市
壽豐-獨棟villa-休閒別墅,23.44,,3房2廳4衛,壽豐鄉
花蓮市後站電梯民宿,31.04,,7房2廳8衛,花蓮市
7年輕齡!全新中古屋!,21.09,,6房2廳6衛,吉安鄉
崇德大地坪原保平房,16.21,,2房2廳1衛,秀林鄉
李安迪推薦北昌超美雙陽台採光戶,22.43,,3房2廳2衛,花蓮市
🍎市區-中正學區優質店住1-2樓🍎,20.4,,3房2廳2衛,花蓮市
花市碧雲莊大地坪庭院車庫別墅,17.01,,4房2廳3衛,花蓮市
花蓮七腳川景觀全新設計美宅附車位,21,,3房2廳2衛,花蓮市
🏠花蓮市飯店式管理㊣香榭大道精品三房,35.67,,3房2廳2衛,花蓮市
D1618專任~美崙海景車位三房華廈,28.16,,3房2廳2衛,花蓮市
稀有平面車位大坪數優質管理華廈B107,17.39,,3房2廳3衛,花蓮市
全新整理 低總價透天 中正國風學區,29.18,,3房2廳2衛,花蓮市
🍎永慶富國🍎市區金三角黃金店住,56,,4房2廳4衛,花蓮市
花蓮後站商圈合法電梯民宿可直接經營-建國,31.03,,7房2廳8衛,花蓮市
後站三房現代時尚風格華廈,20.83,,3房2廳1衛,花蓮市
花蓮❤️壽豐❤️近雲山水❤️農舍,38.3,,7房2廳8衛,壽豐鄉
有巢氏小涵 吉安稻香邊間庭院雙車庫別墅,21.11,,7房3廳4衛,吉安鄉
悠活專任--東華大學休閒農舍,45.12,,12房2廳10衛,壽豐鄉
悠活精選-慈濟中小學旁別墅,17.07,,4房2廳3衛,花蓮市
花蓮💰高投報 透天民宿💎包租公婆最愛,26.96,,10房2廳7衛,花蓮市
給想擁有小天地的您~花蓮吉安邊間小透天,39.63,,2房2廳2衛,吉安鄉
新城~秀林行政區-二樓透天厝{售出},14.24,,3房2廳2衛,新城鄉
{專售}慶豐-二樓透天厝.$580萬,20,,2房2廳2衛,吉安鄉
市中心雙面路店住地45坪,52.6,,6房1廳2衛,花蓮市
木沐川【2C 】D365,27.79,,2房2廳2衛,花蓮市
太昌生活圈別墅,19.69,,5房2廳6衛,吉安鄉
後站走路三分鐘近慈濟~溫馨套房,22.93,,1房1衛,花蓮市
市區觀山看海典雅優美華廈-家有建國,22.32,,3房2廳2衛,花蓮市
林宏緯農舍-吉安面寬型抗震農舍,37.64,,5房2廳6衛,吉安鄉
林宏緯農舍-吉安雙面路面寬獨棟小豪宅,61.77,,5房2廳5衛,吉安鄉
林宏緯農舍-俯瞰縱谷景觀電梯農舍,47.33,,7房2廳8衛,鳳林鎮
林宏緯農舍-太昌全新社區型獨棟抗震宅,55.68,,5房2廳5衛,吉安鄉
林宏緯農舍-吉安黃昏市場獨棟小豪宅,175.44,,4房3廳4衛,吉安鄉
後站國富典雅優美一層兩戶華廈-家有建國,23.41,,3房2廳1衛,花蓮市
市區🔥後站公園旁24h管理邊間🔥華廈,19.05,,2房1廳2衛,花蓮市
❤商校旁2+1房高樓層有裝潢採光超好❤,20.77,,2房2廳2衛,花蓮市
永慶小花專售【近黃昏市場低總價透天】,20.35,,4房2廳2衛,吉安鄉
獨家專售/北埔近家樂福/邊間店住-建國,16.19,,3房2廳3衛,新城鄉
就在後站黃金區店面,35.99,,3房3廳3衛,花蓮市
杜編織美~強推2房2衛在站前~有停車位~,19.93,,2房2廳2衛,花蓮市
花蓮吉安全新完工優質別墅,26.05,,4房2廳4衛,吉安鄉
🍎永慶富國🍎吉安松湖驛站旁稀有店面,21.94,,開放式格局,吉安鄉
志學農建地大別墅超便宜,19.24,,5房2廳3衛,壽豐鄉
溫馨幸福透天厝,35.85,,3房2廳2衛,花蓮市
德安美食街收租七套房C016,33.73,,7房7衛,花蓮市
後站富裕別墅B287,27.57,,4房2廳3衛,花蓮市
花蓮站前地坪大店面-E019,22.35,,8房2廳5衛,花蓮市
🌍專任花蓮吉安鄉靜巷庭院車庫別墅🌍,30.42,,4房2廳3衛,吉安鄉
低總價兩房＋後火車站＋375萬=你的家~,18.77,,2房1廳1衛,花蓮市
站前低總價兩房兩衛電梯華廈,23.35,,2房2廳2衛,花蓮市
❤北埔家樂福鄉村風三房透天有車庫,26.23,,3房2廳2衛,新城鄉
北埔國小~附近透天厝,40.82,,3房2廳2衛,新城鄉
9套房收益宅-北埔車站附近【阿先】,20.39,,9房9衛,新城鄉
花蓮黃金地段、市中心2房華廈附平面車位,27.1,,2房2廳2衛,花蓮市
花蓮黃金地段、市中心2房華廈附平面車位,27.1,,2房2廳2衛,花蓮市
太昌路~全新完工別墅,26.04,,4房2廳5衛,吉安鄉
壽豐縱谷27套房大學城農舍,22.41,,27房2廳28衛,壽豐鄉
北安街豪華農舍【機能超讚】【阿先】,45.36,,8房3廳9衛,吉安鄉
百坪土地高級獨棟豪宅【電梯】【阿先】,29.03,,5房2廳6衛,吉安鄉
林森路五房-獨棟電梯別墅【阿先】,42.09,,5房2廳6衛,花蓮市
後站~面對中琉公園~大坪數華廈3樓,19.05,,2房2廳2衛,花蓮市
美式溫馨農舍【太陽能】【阿先】,36.6,,3房3廳4衛,吉安鄉
北昌大地坪雙拼孝親別墅【阿先】,31.54,,7房2廳7衛,花蓮市
花蓮市❤️遠百旁❤️面寬❤️孝親別墅,31.78,,4房2廳3衛,花蓮市
慈濟邊間採光大車庫【屋況好】【阿先】,31.29,,4房2廳2衛,花蓮市
站前高CP值古早透天厝【阿先】,21.15,,4房2廳3衛,花蓮市
北昌孝親工業住宅【機能佳】【阿先】,24.31,,4房2廳3衛,吉安鄉
🍎永慶富國🍎市區建昌路無障疑空間店住,31.3,,2房2廳2衛,花蓮市
新城低總價原味屋【大空間】【阿先】,19.42,,4房2廳2衛,新城鄉
壽豐近雲山水樂活電梯別墅【阿先】,17.75,,5房2廳6衛,壽豐鄉
上美崙稀有裝潢華廈【阿先】,25.57,,3房2廳2衛,花蓮市
全新4套房別墅【民宿可有地下室】【阿先】,29.43,,4房2廳5衛,吉安鄉
碧雲莊高挑別墅【專任】【阿先】,17.21,,5房2廳4衛,花蓮市
花蓮市區❤️文青背包客❤️大地坪❤️別墅,31.99,,5房2廳5衛,花蓮市
佔地千坪合法莊園地中海風【阿先】,44.9,,10房2廳11衛,豐濱鄉
國風街大地坪店面別墅【阿先】,29.63,,3房2廳5衛,花蓮市
福建街工業風店住【角間】【阿先】,32.8,,4房3廳3衛,花蓮市
花蓮後站大別墅,27.28,,5房3廳3衛,花蓮市
碧雲莊12房收租別墅-包租首選【阿先】,16.33,,12房12衛,花蓮市
太昌建興街可停車美透天,29.96,,2房3廳2衛,花蓮市
美崙現代啟示-四房視野戶【阿先】,21.96,,4房2廳2衛,花蓮市
慶豐6套房收租透天【高投報】【阿先】,38.88,,6房6衛,吉安鄉
輕屋齡四套房別墅【民宿經營中】【阿先】,26.61,,4房2廳5衛,吉安鄉
太昌頂級莊園農舍【專任】【阿先】,49.87,,5房2廳5衛,吉安鄉
福建街買地送平房【53.54坪】【阿先】,49.81,,開放式格局,花蓮市
古早味便宜原況屋【邊間大地坪】【阿先】,26.78,,開放式格局,光復鄉
雲山水夢幻美式度假莊園【阿先】,36.93,,12房12廳13衛,壽豐鄉
💫花蓮福昌夢想家園農舍💫,47.02,,5房3廳5衛,吉安鄉
市區全新整理小巧精美小透天C060,36.55,,3房2廳3衛,花蓮市
站前亮麗山景二房華廈-家有建國,26.49,,2房2廳2衛,花蓮市
【台灣大為推薦】市區一層一戶車位大兩房,26.86,,2房2廳2衛,花蓮市
悠活專任-東華收租五套房美平房,17.02,,5房5衛,壽豐鄉
吉安鄉雙併別墅*太昌游泳池*慈濟技術學院,35.76,,3房2廳2衛,吉安鄉
雲端上的記憶 北回歸線~舞鶴茶山~農舍,16.04,,4房2廳3衛,瑞穗鄉
